K, T, Time, Flops
50, 10000, 0.23154, 3.2393e+08
57, 10000, 0.2968, 3.28404e+08
64, 10000, 0.372762, 3.29642e+08
71, 10000, 0.458246, 3.30009e+08
78, 10000, 0.522597, 3.4924e+08
85, 10000, 0.660913, 3.27938e+08
92, 10000, 0.800782, 3.17071e+08
99, 10000, 0.871846, 3.37228e+08
106, 10000, 1.04336, 3.23051e+08
113, 10000, 1.22538, 3.12592e+08
120, 10000, 1.35938, 3.17767e+08
127, 10000, 1.53604, 3.14987e+08
134, 10000, 1.57238, 3.42562e+08
141, 10000, 1.71542, 3.47658e+08
148, 10000, 1.90322, 3.45239e+08
155, 10000, 2.11599, 3.40592e+08
162, 10000, 2.27543, 3.45979e+08
169, 10000, 2.76295, 3.10088e+08
176, 10000, 2.9708, 3.12776e+08
183, 10000, 3.10182, 3.23868e+08
190, 10000, 3.36237, 3.22065e+08
197, 10000, 3.74286, 3.11036e+08
204, 10000, 4.11471, 3.03391e+08
211, 10000, 4.22013, 3.16461e+08
218, 10000, 4.91949, 2.89784e+08
225, 10000, 5.08005, 2.98936e+08
232, 10000, 5.12758, 3.14879e+08
239, 10000, 5.55611, 3.08394e+08
246, 10000, 5.93927, 3.05645e+08
253, 10000, 6.32104, 3.03762e+08
260, 10000, 6.40666, 3.16515e+08
267, 10000, 7.31065, 2.92514e+08
274, 10000, 8.11283, 2.77593e+08
281, 10000, 8.48068, 2.79294e+08
288, 10000, 8.5613, 2.9062e+08
295, 10000, 8.8498, 2.94978e+08
302, 10000, 9.26792, 2.95196e+08
309, 10000, 9.22877, 3.10351e+08
316, 10000, 10.3102, 2.90526e+08
323, 10000, 10.3973, 3.00997e+08
330, 10000, 10.8758, 3.00362e+08
337, 10000, 12.0555, 2.82588e+08
344, 10000, 12.1153, 2.92996e+08
351, 10000, 12.756, 2.8972e+08
358, 10000, 12.5337, 3.06736e+08
365, 10000, 14.0614, 2.84209e+08
372, 10000, 17.2315, 2.40903e+08
379, 10000, 14.7186, 2.92746e+08
386, 10000, 15.2261, 2.93539e+08
393, 10000, 15.9425, 2.90609e+08
