K, T, Time, Flops
300, 200, 0.172, 3.1239e+08
300, 400, 0.297, 3.62732e+08
300, 600, 0.422, 3.8325e+08
300, 800, 0.546, 3.95113e+08
300, 1000, 0.672, 4.01387e+08
300, 1200, 0.797, 4.06188e+08
300, 1400, 0.906, 4.16923e+08
300, 1600, 1.031, 4.18751e+08
300, 1800, 1.172, 4.14448e+08
300, 2000, 1.297, 4.16139e+08
300, 2200, 1.422, 4.17534e+08
300, 2400, 1.531, 4.23079e+08
300, 2600, 1.657, 4.23496e+08
300, 2800, 1.797, 4.20553e+08
300, 3000, 1.906, 4.24834e+08
300, 3200, 2.047, 4.21951e+08
300, 3400, 2.157, 4.25468e+08
300, 3600, 2.281, 4.26012e+08
300, 3800, 2.422, 4.23507e+08
300, 4000, 2.515, 4.29318e+08
300, 4200, 2.672, 4.24302e+08
300, 4400, 2.781, 4.27089e+08
300, 4600, 2.907, 4.27154e+08
300, 4800, 3.047, 4.2525e+08
300, 5000, 3.14, 4.29852e+08
300, 5200, 3.297, 4.25762e+08
300, 5400, 3.391, 4.29884e+08
300, 5600, 3.531, 4.28133e+08
300, 5800, 3.641, 4.30029e+08
300, 6000, 3.781, 4.28388e+08
300, 6200, 3.906, 4.28504e+08
300, 6400, 4.016, 4.30213e+08
300, 6600, 4.109, 4.33618e+08
300, 6800, 4.25, 4.31938e+08
300, 7000, 4.406, 4.28901e+08
300, 7200, 4.516, 4.30411e+08
300, 7400, 4.656, 4.29067e+08
300, 7600, 4.75, 4.31945e+08
300, 7800, 4.891, 4.30533e+08
300, 8000, 5.015, 4.30656e+08
300, 8200, 5.141, 4.30605e+08
300, 8400, 5.25, 4.3195e+08
300, 8600, 5.375, 4.31952e+08
300, 8800, 5.484, 4.33213e+08
300, 9000, 5.594, 4.34348e+08
300, 9200, 5.781, 4.29638e+08
300, 9400, 5.969, 4.25153e+08
300, 9600, 6.11, 4.2418e+08
300, 9800, 6.125, 4.31958e+08
300, 10000, 6.203, 4.35231e+08
