K, T, Time, Flops
50, 10000, 0.010798, 4.63003e+09
57, 10000, 0.014428, 4.5033e+09
64, 10000, 0.017798, 4.60231e+09
71, 10000, 0.019069, 5.28659e+09
78, 10000, 0.020944, 5.8092e+09
85, 10000, 0.02131, 6.78018e+09
92, 10000, 0.022042, 7.67912e+09
99, 10000, 0.028569, 6.8606e+09
106, 10000, 0.028668, 7.83793e+09
113, 10000, 0.032027, 7.97311e+09
120, 10000, 0.031345, 9.18716e+09
127, 10000, 0.029909, 1.07843e+10
134, 10000, 0.041961, 8.55757e+09
141, 10000, 0.040453, 9.82821e+09
148, 10000, 0.040132, 1.09149e+10
155, 10000, 0.040492, 1.18654e+10
162, 10000, 0.047982, 1.0938e+10
169, 10000, 0.053584, 1.06592e+10
176, 10000, 0.055356, 1.11904e+10
183, 10000, 0.052385, 1.27844e+10
190, 10000, 0.049536, 1.45738e+10
197, 10000, 0.06117, 1.26876e+10
204, 10000, 0.060631, 1.37263e+10
211, 10000, 0.064546, 1.37937e+10
218, 10000, 0.063466, 1.49747e+10
225, 10000, 0.071739, 1.41123e+10
232, 10000, 0.073247, 1.46951e+10
239, 10000, 0.077394, 1.47596e+10
246, 10000, 0.074493, 1.62458e+10
253, 10000, 0.078739, 1.62569e+10
260, 10000, 0.088721, 1.52373e+10
267, 10000, 0.091525, 1.55765e+10
274, 10000, 0.094691, 1.58555e+10
281, 10000, 0.098282, 1.60667e+10
288, 10000, 0.094792, 1.74985e+10
295, 10000, 0.103416, 1.68284e+10
302, 10000, 0.105289, 1.73228e+10
309, 10000, 0.109271, 1.74743e+10
316, 10000, 0.109762, 1.81932e+10
323, 10000, 0.13052, 1.59851e+10
330, 10000, 0.134337, -1.57602e+10
337, 10000, 0.137714, -1.46958e+10
344, 10000, 0.138585, -1.39155e+10
351, 10000, 0.141771, -1.29166e+10
358, 10000, 0.147534, -1.17393e+10
365, 10000, 0.151908, -1.0735e+10
372, 10000, 0.147932, -1.03261e+10
379, 10000, 0.158387, -8.98075e+09
386, 10000, 0.185231, -7.1011e+09
393, 10000, 0.182151, -6.6225e+09
