K, T, Time, Flops
400, 1000, 0.019156, 1.66883e+10
400, 1180, 0.024594, 1.53404e+10
400, 1360, 0.027198, 1.59894e+10
400, 1540, 0.030383, 1.62091e+10
400, 1720, 0.037654, 1.46088e+10
400, 1900, 0.035861, 1.69455e+10
400, 2080, 0.043722, 1.52162e+10
400, 2260, 0.043241, 1.67175e+10
400, 2440, 0.048232, 1.61818e+10
400, 2620, 0.049514, 1.69261e+10
400, 2800, 0.056578, 1.58309e+10
400, 2980, 0.05746, 1.65903e+10
400, 3160, 0.061855, 1.63427e+10
400, 3340, 0.063828, 1.674e+10
400, 3520, 0.070457, 1.59825e+10
400, 3700, 0.071176, 1.66303e+10
400, 3880, 0.07547, 1.64473e+10
400, 4060, 0.078923, 1.64576e+10
400, 4240, 0.080838, 1.67802e+10
400, 4420, 0.086755, 1.62997e+10
400, 4600, 0.08852, 1.66254e+10
400, 4780, 0.092739, 1.64902e+10
400, 4960, 0.095227, 1.66642e+10
400, 5140, 0.100457, 1.637e+10
400, 5320, 0.104534, 1.62826e+10
400, 5500, 0.106899, 1.64612e+10
400, 5680, 0.095899, 1.89499e+10
400, 5860, 0.083462, 2.24639e+10
400, 6040, 0.08546, 2.26127e+10
400, 6220, 0.094511, 2.10566e+10
400, 6400, 0.100705, 2.03335e+10
400, 6580, 0.103251, 2.03899e+10
400, 6760, 0.107339, -1.98631e+10
400, 6940, 0.104169, -1.99146e+10
400, 7120, 0.112371, -1.79485e+10
400, 7300, 0.113152, -1.73155e+10
400, 7480, 0.11857, -1.60385e+10
400, 7660, 0.085321, -2.16135e+10
400, 7840, 0.123923, -1.44161e+10
400, 8020, 0.125457, -1.37807e+10
400, 8200, 0.130315, -1.2825e+10
400, 8380, 0.129526, -1.24584e+10
400, 8560, 0.095761, -1.62497e+10
400, 8740, 0.137395, -1.09064e+10
400, 8920, 0.140239, -1.02745e+10
400, 9100, 0.143746, -9.62313e+09
400, 9280, 0.146137, -9.07153e+09
400, 9460, 0.160135, -7.91886e+09
400, 9640, 0.176348, -6.86419e+09
400, 9820, 0.185464, -6.21623e+09
