K, T, Time, Flops
50, 10000, 0.156, 4.80786e+08
57, 10000, 0.203, 4.8015e+08
64, 10000, 0.265, 4.6369e+08
71, 10000, 0.313, 4.83147e+08
78, 10000, 0.39, 4.67979e+08
85, 10000, 0.453, 4.78452e+08
92, 10000, 0.547, 4.64177e+08
99, 10000, 0.641, 4.58675e+08
106, 10000, 0.718, 4.69438e+08
113, 10000, 0.797, 4.80605e+08
120, 10000, 0.906, 4.76785e+08
127, 10000, 1.047, 4.62113e+08
134, 10000, 1.157, 4.65546e+08
141, 10000, 1.296, 4.6017e+08
148, 10000, 1.437, 4.57248e+08
155, 10000, 1.594, 4.52126e+08
162, 10000, 1.719, 4.57971e+08
169, 10000, 1.906, 4.49504e+08
176, 10000, 2.078, 4.4716e+08
183, 10000, 2.235, 4.49477e+08
190, 10000, 2.437, 4.44359e+08
197, 10000, 2.641, 4.40804e+08
204, 10000, 2.875, 4.34214e+08
211, 10000, 3.094, 4.31644e+08
218, 10000, 3.328, 4.28362e+08
225, 10000, 3.594, 4.2254e+08
232, 10000, 3.844, 4.20023e+08
239, 10000, 4.14, 4.13882e+08
246, 10000, 4.422, 4.10518e+08
253, 10000, 4.765, 4.02957e+08
260, 10000, 5.094, 3.98078e+08
267, 10000, 5.515, 3.87755e+08
274, 10000, 5.907, 3.81254e+08
281, 10000, 6.265, 3.78069e+08
288, 10000, 6.657, 3.73754e+08
295, 10000, 7.125, 3.66386e+08
302, 10000, 7.515, 3.64053e+08
309, 10000, 8.094, 3.53861e+08
316, 10000, 8.766, 3.41706e+08
323, 10000, 9.64, 3.24644e+08
330, 10000, 10.344, 3.15805e+08
337, 10000, 11.157, 3.05346e+08
344, 10000, 12.062, 2.94291e+08
351, 10000, 13.141, 2.81232e+08
358, 10000, 13.953, 2.75535e+08
365, 10000, 14.891, 2.68374e+08
372, 10000, 15.782, 2.63028e+08
379, 10000, 16.593, 2.59676e+08
386, 10000, 17.391, 2.56998e+08
393, 10000, 18.219, 2.54296e+08
