K, T, Time, Flops
400, 1000, 2, 2.39761e+08
400, 1180, 2.312, 2.44776e+08
400, 1360, 2.672, 2.44133e+08
400, 1540, 3, 2.46241e+08
400, 1720, 3.36, 2.45572e+08
400, 1900, 3.703, 2.46158e+08
400, 2080, 4.015, 2.48549e+08
400, 2260, 4.36, 2.48698e+08
400, 2440, 4.703, 2.48931e+08
400, 2620, 5, 2.51425e+08
400, 2800, 5.391, 2.49216e+08
400, 2980, 5.734, 2.49376e+08
400, 3160, 6.172, 2.45678e+08
400, 3340, 6.438, 2.48948e+08
400, 3520, 6.734, 2.50835e+08
400, 3700, 7.094, 2.50285e+08
400, 3880, 7.375, 2.52464e+08
400, 4060, 7.75, 2.51397e+08
400, 4240, 8.078, 2.51885e+08
400, 4420, 8.391, 2.52786e+08
400, 4600, 8.797, 2.50941e+08
400, 4780, 9.125, 2.51389e+08
400, 4960, 9.453, 2.51806e+08
400, 5140, 9.797, 2.51784e+08
400, 5320, 10.125, 2.52161e+08
400, 5500, 10.484, 2.51767e+08
400, 5680, 10.812, 2.52121e+08
400, 5860, 11.141, 2.5243e+08
400, 6040, 11.578, 2.50365e+08
400, 6220, 11.891, 2.51041e+08
400, 6400, 12.172, 2.52344e+08
400, 6580, 12.515, 2.52331e+08
400, 6760, 12.828, 2.5291e+08
400, 6940, 13.172, 2.52864e+08
400, 7120, 13.484, 2.53421e+08
400, 7300, 13.828, 2.53365e+08
400, 7480, 14.219, 2.52474e+08
400, 7660, 14.516, 2.5326e+08
400, 7840, 14.859, 2.53229e+08
400, 8020, 15.188, 2.53432e+08
400, 8200, 15.547, 2.53138e+08
400, 8380, 15.906, 2.52856e+08
400, 8560, 16.281, 2.52339e+08
400, 8740, 16.594, 2.52786e+08
400, 8920, 16.89, 2.53471e+08
400, 9100, 17.298, 2.52488e+08
400, 9280, 17.594, 2.53151e+08
400, 9460, 17.937, 2.53127e+08
400, 9640, 18.406, 2.51371e+08
400, 9820, 18.656, 2.52634e+08
